"pa","Xkm","Ykm","logrec","fyear","year","fmonth","dep","gra","tem.fal","sal.fal"
1,1877.22871590025,4838.10079421428,3.25276679960399,"2015",2015,"11",-0.643752654172233,0.370882427822377,0.173066014244907,-0.436369446623029
0,1931.90446332548,4814.72952872805,0,"2015",2015,"12",0.890263291719005,-0.116735439515057,0.198061554920875,1.18836292389203
1,1906.80674975585,4762.20501605004,3.34450384890553,"2015",2015,"12",-0.87462461485466,-0.0800622061837098,-0.465756452842641,-0.231290954088733
0,1930.66176417591,4737.25135936954,0,"2015",2015,"12",1.71114147200171,0.972474056975796,0.984866826209961,0.91164028657636
0,1929.33548247903,4727.67197553839,0,"2015",2015,"12",-0.312836138051568,0.323158841814878,0.590075229975276,0.250461598807803
0,1959.69656497504,4694.53076779859,0,"2015",2015,"12",-0.859233141023534,-0.382637198341657,0.428984986853348,0.2688190522075
0,2022.74500535957,4696.44026993685,0,"2015",2015,"12",3.10406885069147,0.739230336961951,-1.7915081411663,1.15794261782148
0,1986.11066424885,4676.96613632208,0,"2015",2015,"12",-0.523186166244592,0.318726264267126,0.434520355919055,0.368019780317552
1,2001.48356086322,4702.29315766425,4.45286369845225,"2015",2015,"12",-0.810493514665097,0.456027630523415,-1.63269297768079,1.16365081428968
0,2036.03966657158,4674.12667077107,0,"2015",2015,"12",1.92149140233844,0.574612560204618,0.660298543951738,0.891733005696031
0,2055.35917207196,4670.94449240849,0,"2015",2015,"12",-0.615534960303194,0.767887505913237,1.26782326750745,0.704966297863224
1,1775.17012255313,4970.36852554728,6.08346044168154,"2015",2015,"11",-1.14654046497996,1.96304465253924,-0.226921355723465,-2.20646664649983
1,1808.48822304786,5029.84284785852,4.01985475401346,"2015",2015,"11",-0.0024416522766017,-0.728433391428642,-0.597687322732196,0.461481520805434
0,1853.8608062741,5056.41281405115,0,"2015",2015,"11",-0.407750234831529,-0.577080402570296,-0.659386062060476,0.453288420038186
0,1777.80411726484,5035.94714151681,0,"2016",2016,"11",-0.761753888306655,0.220372938910426,-0.530173958597387,-1.26093761276358
0,1834.05951584815,5005.37630966825,0,"2016",2016,"12",0.125820597030675,-1.76105246184473,0.589781198614056,0.79403334634707
1,1779.78086349855,4970.2711082938,8.36506755940427,"2016",2016,"11",-0.528316673831019,1.78011487543409,1.03498504527052,-0.7211455430052
0,1796.05134015713,4945.97247465123,0,"2016",2016,"11",0.128385801895738,0.516757473259513,0.598057898290734,0.766357297339346
1,1823.70781372728,4960.75466947356,3.34450384890553,"2016",2016,"11",0.413127847594879,-0.92477433600176,0.428819806568639,0.975334124475073
1,1770.10496989251,4909.56292354377,6.40129207425664,"2016",2016,"11",-1.20810633584039,-0.0810999651164537,-1.6951757135185,-2.91753809159515
1,1783.77878462252,4915.2798848106,6.30614786237228,"2016",2016,"11",-0.595013027813791,1.23780780984312,1.70367322878044,-0.218475772098284
1,1806.40566921337,4922.01750643684,3.34450384890553,"2016",2016,"11",0.454171810429976,0.208608133311566,0.918818722714383,0.891402227997127
0,1831.24215092454,4931.66010146132,0,"2016",2016,"12",0.746609568580607,-1.97436594194265,0.6677436212985,1.0760249699471
1,1822.84347936929,5060.32165464833,4.38407379318537,"2016",2016,"11",-0.895146571808133,-0.151371475430082,-0.938694266772626,-1.16842490871999
1,1800.66295541214,4895.21968712714,5.25970933797967,"2016",2016,"11",-0.651448366623718,1.12242059315675,1.41581565495329,-0.356375746022085
0,1870.96609855055,4927.28768605245,0,"2016",2016,"12",1.25196265764563,-1.82464397250435,0.613497672376713,1.16067566901274
